workflow,question_id,inference_latency_ms,blockchain_logging_latency_ms,confirmation_latency_ms,end_to_end_latency_ms,is_correct,confidence_score,review_flag,audit_hash_present,failed_case_type
qwen_only,medqa_00000,1348.6355243733567,0.0,0.0,1348.6355243733567,0,0.42646307166070735,0,0,wrong_answer
qwen_only,medqa_00001,1660.3271744851152,0.0,0.0,1660.3271744851152,0,0.29292008022034727,0,0,wrong_answer
qwen_only,medqa_00002,2376.512366554872,0.0,0.0,2376.512366554872,0,0.23800255202888967,0,0,wrong_answer
qwen_only,medqa_00003,1306.9502620911244,0.0,0.0,1306.9502620911244,0,0.4081846924661515,0,0,wrong_answer
qwen_only,medqa_00004,2669.092465557197,0.0,0.0,2669.092465557197,0,0.4171843871795094,0,0,wrong_answer
qwen_only,medqa_00005,1432.5976213832325,0.0,0.0,1432.5976213832325,0,0.1475875366307797,0,0,wrong_answer
qwen_only,medqa_00006,2612.1397409377346,0.0,0.0,2612.1397409377346,0,0.6492086373195687,0,0,wrong_answer
qwen_only,medqa_00007,1778.2561285971392,0.0,0.0,1778.2561285971392,0,0.5456070900212484,0,0,wrong_answer
qwen_only,medqa_00008,2626.1275040574915,0.0,0.0,2626.1275040574915,0,0.15850743317014407,0,0,wrong_answer
qwen_only,medqa_00009,2247.8647345496115,0.0,0.0,2247.8647345496115,1,0.47302591003880745,0,0,none
qwen_only,medqa_00010,1506.3840095076594,0.0,0.0,1506.3840095076594,0,0.6741376225429841,0,0,wrong_answer
qwen_only,medqa_00011,2939.819452736543,0.0,0.0,2939.819452736543,0,0.19683897518388066,0,0,wrong_answer
qwen_only,medqa_00012,3078.868582833179,0.0,0.0,3078.868582833179,0,0.12835772696628983,0,0,wrong_answer
qwen_only,medqa_00013,2144.184495468011,0.0,0.0,2144.184495468011,0,0.40953561142533124,0,0,wrong_answer
qwen_only,medqa_00014,2039.7200409612828,0.0,0.0,2039.7200409612828,0,0.32145448447860814,0,0,wrong_answer
qwen_only,medqa_00015,2096.322034569048,0.0,0.0,2096.322034569048,0,0.1906891480808225,0,0,wrong_answer
qwen_only,medqa_00016,1723.7737212812278,0.0,0.0,1723.7737212812278,0,0.6980619904087899,0,0,wrong_answer
qwen_only,medqa_00017,2835.4858304939053,0.0,0.0,2835.4858304939053,1,0.18153309680784185,0,0,none
qwen_only,medqa_00018,1912.2076366776903,0.0,0.0,1912.2076366776903,0,0.56367900395656,0,0,wrong_answer
qwen_only,medqa_00019,2151.718381005347,0.0,0.0,2151.718381005347,0,0.6719811360100321,0,0,wrong_answer
qwen_only,medqa_00020,1800.6745274328941,0.0,0.0,1800.6745274328941,0,0.5520534492682599,0,0,wrong_answer
qwen_only,medqa_00021,1874.4118402336815,0.0,0.0,1874.4118402336815,1,0.34070321121747915,0,0,none
qwen_only,medqa_00022,1603.0345593105897,0.0,0.0,1603.0345593105897,0,0.3598427096043181,0,0,wrong_answer
qwen_only,medqa_00023,2945.413174563764,0.0,0.0,2945.413174563764,0,0.4367899045656581,0,0,wrong_answer
qwen_only,medqa_00024,2099.2317644949285,0.0,0.0,2099.2317644949285,1,0.2685719050998497,0,0,none
qwen_only,medqa_00025,2746.6271209354204,0.0,0.0,2746.6271209354204,0,0.7875470467834087,0,0,wrong_answer
qwen_only,medqa_00026,2185.2939976496164,0.0,0.0,2185.2939976496164,0,0.5045733089124901,0,0,wrong_answer
qwen_only,medqa_00027,1843.9234703399477,0.0,0.0,1843.9234703399477,1,0.5869752749973176,0,0,none
qwen_only,medqa_00028,2014.0507780916942,0.0,0.0,2014.0507780916942,0,0.3002981088301863,0,0,wrong_answer
qwen_only,medqa_00029,1904.266731852901,0.0,0.0,1904.266731852901,0,0.5153436673840647,0,0,wrong_answer
qwen_with_blockchain_logging,medqa_00000,2182.4817631275405,16.69158761309942,314.06824018304525,2513.241590923685,0,0.42646307166070735,0,1,wrong_answer
qwen_with_blockchain_logging,medqa_00001,1990.7041640248071,17.33124333563982,912.1332175767792,2920.168624937226,0,0.29292008022034727,0,1,wrong_answer
qwen_with_blockchain_logging,medqa_00002,2027.0291680124233,18.100275283599753,828.0513277378076,2873.1807710338308,0,0.23800255202888967,0,1,wrong_answer
qwen_with_blockchain_logging,medqa_00003,1564.7006766054171,24.155179712728284,726.6828300368421,2315.5386863549875,0,0.4081846924661515,0,1,wrong_answer
qwen_with_blockchain_logging,medqa_00004,1794.8284499381737,21.338212971056972,825.873930910484,2642.0405938197146,0,0.4171843871795094,0,1,wrong_answer
qwen_with_blockchain_logging,medqa_00005,3239.8475643234456,19.806730908937784,551.0742024858308,3810.7284977182144,0,0.1475875366307797,0,1,wrong_answer
qwen_with_blockchain_logging,medqa_00006,1854.205860849665,15.634482781617445,410.7681768987147,2280.608520529997,0,0.6492086373195687,0,1,wrong_answer
qwen_with_blockchain_logging,medqa_00007,1691.422616776332,12.741693612103292,753.0313114929563,2457.1956218813916,0,0.5456070900212484,0,1,wrong_answer
qwen_with_blockchain_logging,medqa_00008,2362.0048916594915,22.82266773167917,524.178660408552,2909.0062197997227,0,0.15850743317014407,0,1,wrong_answer
